**************************************
Base attacks:
0 0: 000000FE
0 1: 00000002
0 2: 00000006
0 3: 00000002
0 4: 0000000E
0 5: 00000002
0 6: 00000006
0 7: 00000002
0 8: 0000001E
0 9: 00000002
0 10: 00000006
0 11: 00000002
0 12: 0000000E
0 13: 00000002
0 14: 00000006
0 15: 00000002
0 16: 0000003E
0 17: 00000002
0 18: 00000006
0 19: 00000002
0 20: 0000000E
0 21: 00000002
0 22: 00000006
0 23: 00000002
0 24: 0000001E
0 25: 00000002
0 26: 00000006
0 27: 00000002
0 28: 0000000E
0 29: 00000002
0 30: 00000006
0 31: 00000002
0 32: 0000007E
0 33: 00000002
0 34: 00000006
0 35: 00000002
0 36: 0000000E
0 37: 00000002
0 38: 00000006
0 39: 00000002
0 40: 0000001E
0 41: 00000002
0 42: 00000006
0 43: 00000002
0 44: 0000000E
0 45: 00000002
0 46: 00000006
0 47: 00000002
0 48: 0000003E
0 49: 00000002
0 50: 00000006
0 51: 00000002
0 52: 0000000E
0 53: 00000002
0 54: 00000006
0 55: 00000002
0 56: 0000001E
0 57: 00000002
0 58: 00000006
0 59: 00000002
0 60: 0000000E
0 61: 00000002
0 62: 00000006
0 63: 00000002
1 0: 000000FD
1 1: 000000FD
1 2: 00000005
1 3: 00000005
1 4: 0000000D
1 5: 0000000D
1 6: 00000005
1 7: 00000005
1 8: 0000001D
1 9: 0000001D
1 10: 00000005
1 11: 00000005
1 12: 0000000D
1 13: 0000000D
1 14: 00000005
1 15: 00000005
1 16: 0000003D
1 17: 0000003D
1 18: 00000005
1 19: 00000005
1 20: 0000000D
1 21: 0000000D
1 22: 00000005
1 23: 00000005
1 24: 0000001D
1 25: 0000001D
1 26: 00000005
1 27: 00000005
1 28: 0000000D
1 29: 0000000D
1 30: 00000005
1 31: 00000005
1 32: 0000007D
1 33: 0000007D
1 34: 00000005
1 35: 00000005
1 36: 0000000D
1 37: 0000000D
1 38: 00000005
1 39: 00000005
1 40: 0000001D
1 41: 0000001D
1 42: 00000005
1 43: 00000005
1 44: 0000000D
1 45: 0000000D
1 46: 00000005
1 47: 00000005
1 48: 0000003D
1 49: 0000003D
1 50: 00000005
1 51: 00000005
1 52: 0000000D
1 53: 0000000D
1 54: 00000005
1 55: 00000005
1 56: 0000001D
1 57: 0000001D
1 58: 00000005
1 59: 00000005
1 60: 0000000D
1 61: 0000000D
1 62: 00000005
1 63: 00000005
2 0: 000000FB
2 1: 000000FA
2 2: 000000FB
2 3: 000000FA
2 4: 0000000B
2 5: 0000000A
2 6: 0000000B
2 7: 0000000A
2 8: 0000001B
2 9: 0000001A
2 10: 0000001B
2 11: 0000001A
2 12: 0000000B
2 13: 0000000A
2 14: 0000000B
2 15: 0000000A
2 16: 0000003B
2 17: 0000003A
2 18: 0000003B
2 19: 0000003A
2 20: 0000000B
2 21: 0000000A
2 22: 0000000B
2 23: 0000000A
2 24: 0000001B
2 25: 0000001A
2 26: 0000001B
2 27: 0000001A
2 28: 0000000B
2 29: 0000000A
2 30: 0000000B
2 31: 0000000A
2 32: 0000007B
2 33: 0000007A
2 34: 0000007B
2 35: 0000007A
2 36: 0000000B
2 37: 0000000A
2 38: 0000000B
2 39: 0000000A
2 40: 0000001B
2 41: 0000001A
2 42: 0000001B
2 43: 0000001A
2 44: 0000000B
2 45: 0000000A
2 46: 0000000B
2 47: 0000000A
2 48: 0000003B
2 49: 0000003A
2 50: 0000003B
2 51: 0000003A
2 52: 0000000B
2 53: 0000000A
2 54: 0000000B
2 55: 0000000A
2 56: 0000001B
2 57: 0000001A
2 58: 0000001B
2 59: 0000001A
2 60: 0000000B
2 61: 0000000A
2 62: 0000000B
2 63: 0000000A
3 0: 000000F7
3 1: 000000F6
3 2: 000000F4
3 3: 000000F4
3 4: 000000F7
3 5: 000000F6
3 6: 000000F4
3 7: 000000F4
3 8: 00000017
3 9: 00000016
3 10: 00000014
3 11: 00000014
3 12: 00000017
3 13: 00000016
3 14: 00000014
3 15: 00000014
3 16: 00000037
3 17: 00000036
3 18: 00000034
3 19: 00000034
3 20: 00000037
3 21: 00000036
3 22: 00000034
3 23: 00000034
3 24: 00000017
3 25: 00000016
3 26: 00000014
3 27: 00000014
3 28: 00000017
3 29: 00000016
3 30: 00000014
3 31: 00000014
3 32: 00000077
3 33: 00000076
3 34: 00000074
3 35: 00000074
3 36: 00000077
3 37: 00000076
3 38: 00000074
3 39: 00000074
3 40: 00000017
3 41: 00000016
3 42: 00000014
3 43: 00000014
3 44: 00000017
3 45: 00000016
3 46: 00000014
3 47: 00000014
3 48: 00000037
3 49: 00000036
3 50: 00000034
3 51: 00000034
3 52: 00000037
3 53: 00000036
3 54: 00000034
3 55: 00000034
3 56: 00000017
3 57: 00000016
3 58: 00000014
3 59: 00000014
3 60: 00000017
3 61: 00000016
3 62: 00000014
3 63: 00000014
4 0: 000000EF
4 1: 000000EE
4 2: 000000EC
4 3: 000000EC
4 4: 000000E8
4 5: 000000E8
4 6: 000000E8
4 7: 000000E8
4 8: 000000EF
4 9: 000000EE
4 10: 000000EC
4 11: 000000EC
4 12: 000000E8
4 13: 000000E8
4 14: 000000E8
4 15: 000000E8
4 16: 0000002F
4 17: 0000002E
4 18: 0000002C
4 19: 0000002C
4 20: 00000028
4 21: 00000028
4 22: 00000028
4 23: 00000028
4 24: 0000002F
4 25: 0000002E
4 26: 0000002C
4 27: 0000002C
4 28: 00000028
4 29: 00000028
4 30: 00000028
4 31: 00000028
4 32: 0000006F
4 33: 0000006E
4 34: 0000006C
4 35: 0000006C
4 36: 00000068
4 37: 00000068
4 38: 00000068
4 39: 00000068
4 40: 0000006F
4 41: 0000006E
4 42: 0000006C
4 43: 0000006C
4 44: 00000068
4 45: 00000068
4 46: 00000068
4 47: 00000068
4 48: 0000002F
4 49: 0000002E
4 50: 0000002C
4 51: 0000002C
4 52: 00000028
4 53: 00000028
4 54: 00000028
4 55: 00000028
4 56: 0000002F
4 57: 0000002E
4 58: 0000002C
4 59: 0000002C
4 60: 00000028
4 61: 00000028
4 62: 00000028
4 63: 00000028
5 0: 000000DF
5 1: 000000DE
5 2: 000000DC
5 3: 000000DC
5 4: 000000D8
5 5: 000000D8
5 6: 000000D8
5 7: 000000D8
5 8: 000000D0
5 9: 000000D0
5 10: 000000D0
5 11: 000000D0
5 12: 000000D0
5 13: 000000D0
5 14: 000000D0
5 15: 000000D0
5 16: 000000DF
5 17: 000000DE
5 18: 000000DC
5 19: 000000DC
5 20: 000000D8
5 21: 000000D8
5 22: 000000D8
5 23: 000000D8
5 24: 000000D0
5 25: 000000D0
5 26: 000000D0
5 27: 000000D0
5 28: 000000D0
5 29: 000000D0
5 30: 000000D0
5 31: 000000D0
5 32: 0000005F
5 33: 0000005E
5 34: 0000005C
5 35: 0000005C
5 36: 00000058
5 37: 00000058
5 38: 00000058
5 39: 00000058
5 40: 00000050
5 41: 00000050
5 42: 00000050
5 43: 00000050
5 44: 00000050
5 45: 00000050
5 46: 00000050
5 47: 00000050
5 48: 0000005F
5 49: 0000005E
5 50: 0000005C
5 51: 0000005C
5 52: 00000058
5 53: 00000058
5 54: 00000058
5 55: 00000058
5 56: 00000050
5 57: 00000050
5 58: 00000050
5 59: 00000050
5 60: 00000050
5 61: 00000050
5 62: 00000050
5 63: 00000050
6 0: 000000BF
6 1: 000000BE
6 2: 000000BC
6 3: 000000BC
6 4: 000000B8
6 5: 000000B8
6 6: 000000B8
6 7: 000000B8
6 8: 000000B0
6 9: 000000B0
6 10: 000000B0
6 11: 000000B0
6 12: 000000B0
6 13: 000000B0
6 14: 000000B0
6 15: 000000B0
6 16: 000000A0
6 17: 000000A0
6 18: 000000A0
6 19: 000000A0
6 20: 000000A0
6 21: 000000A0
6 22: 000000A0
6 23: 000000A0
6 24: 000000A0
6 25: 000000A0
6 26: 000000A0
6 27: 000000A0
6 28: 000000A0
6 29: 000000A0
6 30: 000000A0
6 31: 000000A0
6 32: 000000BF
6 33: 000000BE
6 34: 000000BC
6 35: 000000BC
6 36: 000000B8
6 37: 000000B8
6 38: 000000B8
6 39: 000000B8
6 40: 000000B0
6 41: 000000B0
6 42: 000000B0
6 43: 000000B0
6 44: 000000B0
6 45: 000000B0
6 46: 000000B0
6 47: 000000B0
6 48: 000000A0
6 49: 000000A0
6 50: 000000A0
6 51: 000000A0
6 52: 000000A0
6 53: 000000A0
6 54: 000000A0
6 55: 000000A0
6 56: 000000A0
6 57: 000000A0
6 58: 000000A0
6 59: 000000A0
6 60: 000000A0
6 61: 000000A0
