a1	8/8/8/8/8/8/8/K7	b1 a2 b2
b1	8/8/8/8/8/8/8/1K6	a1 c1 a2 b2 c2
c1	8/8/8/8/8/8/8/2K5	b1 d1 b2 c2 d2
d1	8/8/8/8/8/8/8/3K4	c1 e1 c2 d2 e2
e1	8/8/8/8/8/8/8/4K3	d1 f1 d2 e2 f2
f1	8/8/8/8/8/8/8/5K2	e1 g1 e2 f2 g2
g1	8/8/8/8/8/8/8/6K1	f1 h1 f2 g2 h2
h1	8/8/8/8/8/8/8/7K	g1 g2 h2
a2	8/8/8/8/8/8/K7/8	a1 b1 b2 a3 b3
b2	8/8/8/8/8/8/1K6/8	a1 b1 c1 a2 c2 a3 b3 c3
c2	8/8/8/8/8/8/2K5/8	b1 c1 d1 b2 d2 b3 c3 d3
d2	8/8/8/8/8/8/3K4/8	c1 d1 e1 c2 e2 c3 d3 e3
e2	8/8/8/8/8/8/4K3/8	d1 e1 f1 d2 f2 d3 e3 f3
f2	8/8/8/8/8/8/5K2/8	e1 f1 g1 e2 g2 e3 f3 g3
g2	8/8/8/8/8/8/6K1/8	f1 g1 h1 f2 h2 f3 g3 h3
h2	8/8/8/8/8/8/7K/8	g1 h1 g2 g3 h3
a3	8/8/8/8/8/K7/8/8	a2 b2 b3 a4 b4
b3	8/8/8/8/8/1K6/8/8	a2 b2 c2 a3 c3 a4 b4 c4
c3	8/8/8/8/8/2K5/8/8	b2 c2 d2 b3 d3 b4 c4 d4
d3	8/8/8/8/8/3K4/8/8	c2 d2 e2 c3 e3 c4 d4 e4
e3	8/8/8/8/8/4K3/8/8	d2 e2 f2 d3 f3 d4 e4 f4
f3	8/8/8/8/8/5K2/8/8	e2 f2 g2 e3 g3 e4 f4 g4
g3	8/8/8/8/8/6K1/8/8	f2 g2 h2 f3 h3 f4 g4 h4
h3	8/8/8/8/8/7K/8/8	g2 h2 g3 g4 h4
a4	8/8/8/8/K7/8/8/8	a3 b3 b4 a5 b5
b4	8/8/8/8/1K6/8/8/8	a3 b3 c3 a4 c4 a5 b5 c5
c4	8/8/8/8/2K5/8/8/8	b3 c3 d3 b4 d4 b5 c5 d5
d4	8/8/8/8/3K4/8/8/8	c3 d3 e3 c4 e4 c5 d5 e5
e4	8/8/8/8/4K3/8/8/8	d3 e3 f3 d4 f4 d5 e5 f5
f4	8/8/8/8/5K2/8/8/8	e3 f3 g3 e4 g4 e5 f5 g5
g4	8/8/8/8/6K1/8/8/8	f3 g3 h3 f4 h4 f5 g5 h5
h4	8/8/8/8/7K/8/8/8	g3 h3 g4 g5 h5
a5	8/8/8/K7/8/8/8/8	a4 b4 b5 a6 b6
b5	8/8/8/1K6/8/8/8/8	a4 b4 c4 a5 c5 a6 b6 c6
c5	8/8/8/2K5/8/8/8/8	b4 c4 d4 b5 d5 b6 c6 d6
d5	8/8/8/3K4/8/8/8/8	c4 d4 e4 c5 e5 c6 d6 e6
e5	8/8/8/4K3/8/8/8/8	d4 e4 f4 d5 f5 d6 e6 f6
f5	8/8/8/5K2/8/8/8/8	e4 f4 g4 e5 g5 e6 f6 g6
g5	8/8/8/6K1/8/8/8/8	f4 g4 h4 f5 h5 f6 g6 h6
h5	8/8/8/7K/8/8/8/8	g4 h4 g5 g6 h6
a6	8/8/K7/8/8/8/8/8	a5 b5 b6 a7 b7
b6	8/8/1K6/8/8/8/8/8	a5 b5 c5 a6 c6 a7 b7 c7
c6	8/8/2K5/8/8/8/8/8	b5 c5 d5 b6 d6 b7 c7 d7
d6	8/8/3K4/8/8/8/8/8	c5 d5 e5 c6 e6 c7 d7 e7
e6	8/8/4K3/8/8/8/8/8	d5 e5 f5 d6 f6 d7 e7 f7
f6	8/8/5K2/8/8/8/8/8	e5 f5 g5 e6 g6 e7 f7 g7
g6	8/8/6K1/8/8/8/8/8	f5 g5 h5 f6 h6 f7 g7 h7
h6	8/8/7K/8/8/8/8/8	g5 h5 g6 g7 h7
a7	8/K7/8/8/8/8/8/8	a6 b6 b7 a8 b8
b7	8/1K6/8/8/8/8/8/8	a6 b6 c6 a7 c7 a8 b8 c8
c7	8/2K5/8/8/8/8/8/8	b6 c6 d6 b7 d7 b8 c8 d8
d7	8/3K4/8/8/8/8/8/8	c6 d6 e6 c7 e7 c8 d8 e8
e7	8/4K3/8/8/8/8/8/8	d6 e6 f6 d7 f7 d8 e8 f8
f7	8/5K2/8/8/8/8/8/8	e6 f6 g6 e7 g7 e8 f8 g8
g7	8/6K1/8/8/8/8/8/8	f6 g6 h6 f7 h7 f8 g8 h8
h7	8/7K/8/8/8/8/8/8	g6 h6 g7 g8 h8
a8	K7/8/8/8/8/8/8/8	a7 b7 b8
b8	1K6/8/8/8/8/8/8/8	a7 b7 c7 a8 c8
c8	2K5/8/8/8/8/8/8/8	b7 c7 d7 b8 d8
d8	3K4/8/8/8/8/8/8/8	c7 d7 e7 c8 e8
e8	4K3/8/8/8/8/8/8/8	d7 e7 f7 d8 f8
f8	5K2/8/8/8/8/8/8/8	e7 f7 g7 e8 g8
g8	6K1/8/8/8/8/8/8/8	f7 g7 h7 f8 h8
h8	7K/8/8/8/8/8/8/8	g7 h7 g8
