a1	8/8/8/8/8/8/8/N7	c2 b3
b1	8/8/8/8/8/8/8/1N6	d2 a3 c3
c1	8/8/8/8/8/8/8/2N5	a2 e2 b3 d3
d1	8/8/8/8/8/8/8/3N4	b2 f2 c3 e3
e1	8/8/8/8/8/8/8/4N3	c2 g2 d3 f3
f1	8/8/8/8/8/8/8/5N2	d2 h2 e3 g3
g1	8/8/8/8/8/8/8/6N1	e2 f3 h3
h1	8/8/8/8/8/8/8/7N	f2 g3
a2	8/8/8/8/8/8/N7/8	c1 c3 b4
b2	8/8/8/8/8/8/1N6/8	d1 d3 a4 c4
c2	8/8/8/8/8/8/2N5/8	a1 e1 a3 e3 b4 d4
d2	8/8/8/8/8/8/3N4/8	b1 f1 b3 f3 c4 e4
e2	8/8/8/8/8/8/4N3/8	c1 g1 c3 g3 d4 f4
f2	8/8/8/8/8/8/5N2/8	d1 h1 d3 h3 e4 g4
g2	8/8/8/8/8/8/6N1/8	e1 e3 f4 h4
h2	8/8/8/8/8/8/7N/8	f1 f3 g4
a3	8/8/8/8/8/N7/8/8	b1 c2 c4 b5
b3	8/8/8/8/8/1N6/8/8	a1 c1 d2 d4 a5 c5
c3	8/8/8/8/8/2N5/8/8	b1 d1 a2 e2 a4 e4 b5 d5
d3	8/8/8/8/8/3N4/8/8	c1 e1 b2 f2 b4 f4 c5 e5
e3	8/8/8/8/8/4N3/8/8	d1 f1 c2 g2 c4 g4 d5 f5
f3	8/8/8/8/8/5N2/8/8	e1 g1 d2 h2 d4 h4 e5 g5
g3	8/8/8/8/8/6N1/8/8	f1 h1 e2 e4 f5 h5
h3	8/8/8/8/8/7N/8/8	g1 f2 f4 g5
a4	8/8/8/8/N7/8/8/8	b2 c3 c5 b6
b4	8/8/8/8/1N6/8/8/8	a2 c2 d3 d5 a6 c6
c4	8/8/8/8/2N5/8/8/8	b2 d2 a3 e3 a5 e5 b6 d6
d4	8/8/8/8/3N4/8/8/8	c2 e2 b3 f3 b5 f5 c6 e6
e4	8/8/8/8/4N3/8/8/8	d2 f2 c3 g3 c5 g5 d6 f6
f4	8/8/8/8/5N2/8/8/8	e2 g2 d3 h3 d5 h5 e6 g6
g4	8/8/8/8/6N1/8/8/8	f2 h2 e3 e5 f6 h6
h4	8/8/8/8/7N/8/8/8	g2 f3 f5 g6
a5	8/8/8/N7/8/8/8/8	b3 c4 c6 b7
b5	8/8/8/1N6/8/8/8/8	a3 c3 d4 d6 a7 c7
c5	8/8/8/2N5/8/8/8/8	b3 d3 a4 e4 a6 e6 b7 d7
d5	8/8/8/3N4/8/8/8/8	c3 e3 b4 f4 b6 f6 c7 e7
e5	8/8/8/4N3/8/8/8/8	d3 f3 c4 g4 c6 g6 d7 f7
f5	8/8/8/5N2/8/8/8/8	e3 g3 d4 h4 d6 h6 e7 g7
g5	8/8/8/6N1/8/8/8/8	f3 h3 e4 e6 f7 h7
h5	8/8/8/7N/8/8/8/8	g3 f4 f6 g7
a6	8/8/N7/8/8/8/8/8	b4 c5 c7 b8
b6	8/8/1N6/8/8/8/8/8	a4 c4 d5 d7 a8 c8
c6	8/8/2N5/8/8/8/8/8	b4 d4 a5 e5 a7 e7 b8 d8
d6	8/8/3N4/8/8/8/8/8	c4 e4 b5 f5 b7 f7 c8 e8
e6	8/8/4N3/8/8/8/8/8	d4 f4 c5 g5 c7 g7 d8 f8
f6	8/8/5N2/8/8/8/8/8	e4 g4 d5 h5 d7 h7 e8 g8
g6	8/8/6N1/8/8/8/8/8	f4 h4 e5 e7 f8 h8
h6	8/8/7N/8/8/8/8/8	g4 f5 f7 g8
a7	8/N7/8/8/8/8/8/8	b5 c6 c8
b7	8/1N6/8/8/8/8/8/8	a5 c5 d6 d8
c7	8/2N5/8/8/8/8/8/8	b5 d5 a6 e6 a8 e8
d7	8/3N4/8/8/8/8/8/8	c5 e5 b6 f6 b8 f8
e7	8/4N3/8/8/8/8/8/8	d5 f5 c6 g6 c8 g8
f7	8/5N2/8/8/8/8/8/8	e5 g5 d6 h6 d8 h8
g7	8/6N1/8/8/8/8/8/8	f5 h5 e6 e8
h7	8/7N/8/8/8/8/8/8	g5 f6 f8
a8	N7/8/8/8/8/8/8/8	b6 c7
b8	1N6/8/8/8/8/8/8/8	a6 c6 d7
c8	2N5/8/8/8/8/8/8/8	b6 d6 a7 e7
d8	3N4/8/8/8/8/8/8/8	c6 e6 b7 f7
e8	4N3/8/8/8/8/8/8/8	d6 f6 c7 g7
f8	5N2/8/8/8/8/8/8/8	e6 g6 d7 h7
g8	6N1/8/8/8/8/8/8/8	f6 h6 e7
h8	7N/8/8/8/8/8/8/8	g6 f7
