a1	0	8/8/8/8/8/8/8/R7	b1 c1 d1 e1 f1 g1 h1	a2 a3 a4 a5 a6 a7 a8
a1	2	8/8/8/8/8/8/p7/Rp6	b1	a2
a1	4	8/8/8/8/8/p7/8/R1p5	b1 c1	a2 a3
a1	6	8/8/8/8/8/p7/p7/Rpp5	b1	a2
a1	8	8/8/8/8/p7/8/8/R2p4	b1 c1 d1	a2 a3 a4
a1	10	8/8/8/8/p7/8/p7/Rp1p4	b1	a2
a1	12	8/8/8/8/p7/p7/8/R1pp4	b1 c1	a2 a3
a1	14	8/8/8/8/p7/p7/p7/Rppp4	b1	a2
a1	16	8/8/8/p7/8/8/8/R3p3	b1 c1 d1 e1	a2 a3 a4 a5
a1	18	8/8/8/p7/8/8/p7/Rp2p3	b1	a2
a1	20	8/8/8/p7/8/p7/8/R1p1p3	b1 c1	a2 a3
a1	22	8/8/8/p7/8/p7/p7/Rpp1p3	b1	a2
a1	24	8/8/8/p7/p7/8/8/R2pp3	b1 c1 d1	a2 a3 a4
a1	26	8/8/8/p7/p7/8/p7/Rp1pp3	b1	a2
a1	28	8/8/8/p7/p7/p7/8/R1ppp3	b1 c1	a2 a3
a1	30	8/8/8/p7/p7/p7/p7/Rpppp3	b1	a2
a1	32	8/8/p7/8/8/8/8/R4p2	b1 c1 d1 e1 f1	a2 a3 a4 a5 a6
a1	34	8/8/p7/8/8/8/p7/Rp3p2	b1	a2
a1	36	8/8/p7/8/8/p7/8/R1p2p2	b1 c1	a2 a3
a1	38	8/8/p7/8/8/p7/p7/Rpp2p2	b1	a2
a1	40	8/8/p7/8/p7/8/8/R2p1p2	b1 c1 d1	a2 a3 a4
a1	42	8/8/p7/8/p7/8/p7/Rp1p1p2	b1	a2
a1	44	8/8/p7/8/p7/p7/8/R1pp1p2	b1 c1	a2 a3
a1	46	8/8/p7/8/p7/p7/p7/Rppp1p2	b1	a2
a1	48	8/8/p7/p7/8/8/8/R3pp2	b1 c1 d1 e1	a2 a3 a4 a5
a1	50	8/8/p7/p7/8/8/p7/Rp2pp2	b1	a2
a1	52	8/8/p7/p7/8/p7/8/R1p1pp2	b1 c1	a2 a3
a1	54	8/8/p7/p7/8/p7/p7/Rpp1pp2	b1	a2
a1	56	8/8/p7/p7/p7/8/8/R2ppp2	b1 c1 d1	a2 a3 a4
a1	58	8/8/p7/p7/p7/8/p7/Rp1ppp2	b1	a2
a1	60	8/8/p7/p7/p7/p7/8/R1pppp2	b1 c1	a2 a3
a1	62	8/8/p7/p7/p7/p7/p7/Rppppp2	b1	a2
a1	64	8/p7/8/8/8/8/8/R5p1	b1 c1 d1 e1 f1 g1	a2 a3 a4 a5 a6 a7
a1	66	8/p7/8/8/8/8/p7/Rp4p1	b1	a2
a1	68	8/p7/8/8/8/p7/8/R1p3p1	b1 c1	a2 a3
a1	70	8/p7/8/8/8/p7/p7/Rpp3p1	b1	a2
a1	72	8/p7/8/8/p7/8/8/R2p2p1	b1 c1 d1	a2 a3 a4
a1	74	8/p7/8/8/p7/8/p7/Rp1p2p1	b1	a2
a1	76	8/p7/8/8/p7/p7/8/R1pp2p1	b1 c1	a2 a3
a1	78	8/p7/8/8/p7/p7/p7/Rppp2p1	b1	a2
a1	80	8/p7/8/p7/8/8/8/R3p1p1	b1 c1 d1 e1	a2 a3 a4 a5
a1	82	8/p7/8/p7/8/8/p7/Rp2p1p1	b1	a2
a1	84	8/p7/8/p7/8/p7/8/R1p1p1p1	b1 c1	a2 a3
a1	86	8/p7/8/p7/8/p7/p7/Rpp1p1p1	b1	a2
a1	88	8/p7/8/p7/p7/8/8/R2pp1p1	b1 c1 d1	a2 a3 a4
a1	90	8/p7/8/p7/p7/8/p7/Rp1pp1p1	b1	a2
a1	92	8/p7/8/p7/p7/p7/8/R1ppp1p1	b1 c1	a2 a3
a1	94	8/p7/8/p7/p7/p7/p7/Rpppp1p1	b1	a2
a1	96	8/p7/p7/8/8/8/8/R4pp1	b1 c1 d1 e1 f1	a2 a3 a4 a5 a6
a1	98	8/p7/p7/8/8/8/p7/Rp3pp1	b1	a2
a1	100	8/p7/p7/8/8/p7/8/R1p2pp1	b1 c1	a2 a3
a1	102	8/p7/p7/8/8/p7/p7/Rpp2pp1	b1	a2
a1	104	8/p7/p7/8/p7/8/8/R2p1pp1	b1 c1 d1	a2 a3 a4
a1	106	8/p7/p7/8/p7/8/p7/Rp1p1pp1	b1	a2
a1	108	8/p7/p7/8/p7/p7/8/R1pp1pp1	b1 c1	a2 a3
a1	110	8/p7/p7/8/p7/p7/p7/Rppp1pp1	b1	a2
a1	112	8/p7/p7/p7/8/8/8/R3ppp1	b1 c1 d1 e1	a2 a3 a4 a5
a1	114	8/p7/p7/p7/8/8/p7/Rp2ppp1	b1	a2
a1	116	8/p7/p7/p7/8/p7/8/R1p1ppp1	b1 c1	a2 a3
a1	118	8/p7/p7/p7/8/p7/p7/Rpp1ppp1	b1	a2
a1	120	8/p7/p7/p7/p7/8/8/R2pppp1	b1 c1 d1	a2 a3 a4
a1	122	8/p7/p7/p7/p7/8/p7/Rp1pppp1	b1	a2
a1	124	8/p7/p7/p7/p7/p7/8/R1ppppp1	b1 c1	a2 a3
a1	126	8/p7/p7/p7/p7/p7/p7/Rpppppp1	b1	a2
b1	0	8/8/8/8/8/8/8/1R6	a1 c1 d1 e1 f1 g1 h1	b2 b3 b4 b5 b6 b7 b8
b1	2	8/8/8/8/8/8/p7/1R6	a1 c1 d1 e1 f1 g1 h1	b2
b1	4	8/8/8/8/8/p7/8/1Rp5	a1 c1	b2 b3
b1	6	8/8/8/8/8/p7/p7/1Rp5	a1 c1	b2
b1	8	8/8/8/8/p7/8/8/1R1p4	a1 c1 d1	b2 b3 b4
b1	10	8/8/8/8/p7/8/p7/1R1p4	a1 c1 d1	b2
b1	12	8/8/8/8/p7/p7/8/1Rpp4	a1 c1	b2 b3
b1	14	8/8/8/8/p7/p7/p7/1Rpp4	a1 c1	b2
b1	16	8/8/8/p7/8/8/8/1R2p3	a1 c1 d1 e1	b2 b3 b4 b5
b1	18	8/8/8/p7/8/8/p7/1R2p3	a1 c1 d1 e1	b2
b1	20	8/8/8/p7/8/p7/8/1Rp1p3	a1 c1	b2 b3
b1	22	8/8/8/p7/8/p7/p7/1Rp1p3	a1 c1	b2
b1	24	8/8/8/p7/p7/8/8/1R1pp3	a1 c1 d1	b2 b3 b4
b1	26	8/8/8/p7/p7/8/p7/1R1pp3	a1 c1 d1	b2
b1	28	8/8/8/p7/p7/p7/8/1Rppp3	a1 c1	b2 b3
b1	30	8/8/8/p7/p7/p7/p7/1Rppp3	a1 c1	b2
b1	32	8/8/p7/8/8/8/8/1R3p2	a1 c1 d1 e1 f1	b2 b3 b4 b5 b6
